"ERBAG",20130701,530.00,529.00,539.00,518.20,109011
"VIG",20130701,935.00,944.00,947.30,929.00,15514
"CETV",20130701,68.00,67.00,67.90,66.15,49909
"TABAK",20130701,11220.00,11300.00,11330.00,11175.00,735
"CEZ",20130701,479.00,484.40,485.60,477.60,336216
"KOMB",20130701,3710.00,3659.00,3749.00,3659.00,28125
"UNIPE",20130701,172.00,171.05,172.00,171.05,76062
"TELEC",20130701,275.00,269.80,278.00,265.00,290034
"NWRUK",20130701,18.00,19.10,19.10,17.55,288509
"ORCO",20130701,59.05,57.00,58.50,56.40,13579
"PEGAS",20130701,518.00,515.50,525.80,515.50,24804
"AAA",20130701,24.00,23.90,24.10,23.60,76771
"FOREG",20130701,94.95,95.55,95.80,94.00,11712
"TMR",20130701,1300.00,1176.00,1176.00,1176.00,3
"ERBAG",20130702,529.00,517.20,529.50,505.00,214589
"VIG",20130702,944.00,947.60,947.60,942.50,13401
"CETV",20130702,67.00,66.00,67.00,65.80,46422
"TABAK",20130702,11300.00,11090.00,11270.00,11090.00,98
"CEZ",20130702,484.40,502.00,502.00,487.00,550298
"KOMB",20130702,3659.00,3680.00,3680.00,3617.00,32575
"UNIPE",20130702,171.05,172.00,172.30,171.00,11111
"TELEC",20130702,269.80,267.50,270.40,266.10,212584
"NWRUK",20130702,19.10,21.65,23.00,19.10,665879
"ORCO",20130702,57.00,57.50,58.75,56.45,37904
"PEGAS",20130702,515.50,524.60,524.60,515.00,35261
"AAA",20130702,23.90,24.50,24.50,23.30,381790
"FOREG",20130702,95.55,96.10,96.30,94.50,18539
"TMR",20130702,1176.00,1220.00,1220.00,1210.00,274
"ERBAG",20130703,517.20,500.90,515.00,487.20,271750
"VIG",20130703,947.60,951.00,952.20,940.30,29487
"CETV",20130703,66.00,63.80,65.85,63.50,74832
"TABAK",20130703,11090.00,11320.00,11320.00,11090.00,1462
"CEZ",20130703,502.00,496.00,508.70,490.00,948272
"KOMB",20130703,3680.00,3534.00,3680.00,3534.00,53529
"UNIPE",20130703,172.00,172.00,172.00,171.00,1322
"TELEC",20130703,267.50,264.00,268.50,264.00,207593
"NWRUK",20130703,21.65,22.00,23.90,22.00,427884
"ORCO",20130703,57.50,56.70,56.70,55.80,3857
"PEGAS",20130703,524.60,515.00,523.00,515.00,8598
"AAA",20130703,24.50,24.00,25.25,23.80,234781
"FOREG",20130703,96.10,95.95,96.30,94.50,21449
"TMR",20130703,1220.00,1220.00,1220.00,1190.00,273
"ERBAG",20130704,500.90,517.60,517.60,503.40,102453
